Player,2021/2022
,Player,"
							2021/22						","
							2022/23						","
							2023/24						","
							2024/25						","
							2025/26						","
							2026/27						"
"
						77.
					","

								Markelle Fultz							
","
							$16,500,000						","
							$16,500,000						","
							$17,000,000						","
							$0						","
							$0						","
							$0						"
"
						78.
					","

								Aaron Gordon							
","
							$16,409,091						","
							$19,690,909						","
							$21,266,182						","
							$22,841,455						","
							$22,841,455						","
							$0						"
"
						79.
					","

								OG Anunoby							
","
							$16,071,429						","
							$17,357,143						","
							$18,642,857						","
							$19,928,571						","
							$0						","
							$0						"
"
						80.
					","

								Gary Trent Jr							
","
							$16,000,000						","
							$17,280,000						","
							$18,560,000						","
							$0						","
							$0						","
							$0						"
"
						80.
					","

								Davis Bertans							
","
							$16,000,000						","
							$16,000,000						","
							$17,000,000						","
							$16,000,000						","
							$0						","
							$0						"
"
						82.
					","

								Lauri Markkanen							
","
							$15,690,909						","
							$16,475,454						","
							$17,259,999						","
							$18,044,544						","
							$0						","
							$0						"
"
						83.
					","

								Derrick White							
","
							$15,678,571						","
							$16,892,857						","
							$18,107,143						","
							$19,321,429						","
							$0						","
							$0						"
"
						84.
					","

								Duncan Robinson							
","
							$15,650,000						","
							$16,902,000						","
							$18,154,000						","
							$19,406,000						","
							$19,888,000						","
							$0						"
"
						85.
					","

								Marcus Morris							
","
							$15,627,907						","
							$16,372,093						","
							$17,116,279						","
							$0						","
							$0						","
							$0						"
"
						86.
					","

								Will Barton							
","
							$15,625,000						","
							$14,375,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						87.
					","

								Norman Powell							
","
							$15,517,242						","
							$16,758,621						","
							$18,000,000						","
							$19,241,379						","
							$20,482,758						","
							$0						"
"
						88.
					","

								Dejounte Murray							
","
							$15,428,880						","
							$16,571,120						","
							$17,714,000						","
							$0						","
							$0						","
							$0						"
"
						89.
					","

								Malik Beasley							
","
							$14,491,964						","
							$15,558,035						","
							$16,524,106						","
							$0						","
							$0						","
							$0						"
"
						90.
					","

								Marcus Smart							
","
							$14,339,285						","
							$17,207,142						","
							$18,583,713						","
							$19,960,285						","
							$21,336,856						","
							$0						"
"
						91.
					","

								Patrick Beverley							
","
							$14,320,987						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						92.
					","

								Thaddeus Young							
","
							$14,190,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						93.
					","

								Jonas Valanciunas							
","
							$14,000,000						","
							$14,700,000						","
							$15,435,000						","
							$0						","
							$0						","
							$0						"
"
						94.
					","

								Doug McDermott							
","
							$13,750,000						","
							$13,750,000						","
							$13,750,000						","
							$0						","
							$0						","
							$0						"
"
						95.
					","

								Christian Wood							
","
							$13,666,667						","
							$14,317,459						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						96.
					","

								Derrick Rose							
","
							$13,445,120						","
							$14,520,730						","
							$15,596,339						","
							$0						","
							$0						","
							$0						"
"
						97.
					","

								Brook Lopez							
","
							$13,302,325						","
							$13,906,976						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						98.
					","

								Kentavious Caldwell-Pope							
","
							$13,038,862						","
							$14,004,703						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						99.
					","

								Joe Ingles							
","
							$13,036,364						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						100.
					","

								Kyle Kuzma							
","
							$13,000,000						","
							$13,000,000						","
							$13,000,000						","
							$0						","
							$0						","
							$0						"
"
						100.
					","

								Taurean Prince							
","
							$13,000,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
