Player,2008-2009
,Player,"
							2008/09						","
							2008/09(*)						"
"
						105.
					","

								Darko Milicic							
","
							$7,020,000						","
							$8,270,616						"
"
						106.
					","

								Jerry Stackhouse							
","
							$7,000,000						","
							$8,247,053						"
"
						107.
					","

								Marquis Daniels							
","
							$6,864,200						","
							$8,087,060						"
"
						107.
					","

								Hidayet Turkoglu							
","
							$6,864,200						","
							$8,087,060						"
"
						107.
					","

								Etan Thomas							
","
							$6,864,200						","
							$8,087,060						"
"
						110.
					","

								Jamaal Tinsley							
","
							$6,750,000						","
							$7,952,515						"
"
						110.
					","

								Chris Wilcox							
","
							$6,750,000						","
							$7,952,515						"
"
						112.
					","

								Marko Jaric							
","
							$6,575,000						","
							$7,746,339						"
"
						112.
					","

								Udonis Haslem							
","
							$6,575,000						","
							$7,746,339						"
"
						114.
					","

								Luke Ridnour							
","
							$6,500,000						","
							$7,657,978						"
"
						115.
					","

								Bobby Jackson							
","
							$6,487,888						","
							$7,643,708						"
"
						116.
					","

								Shane Battier							
","
							$6,448,900						","
							$7,597,774						"
"
						117.
					","

								Ben Gordon							
","
							$6,404,750						","
							$7,545,759						"
"
						118.
					","

								Nick Collison							
","
							$6,350,000						","
							$7,481,255						"
"
						119.
					","

								Joel Przybilla							
","
							$6,310,150						","
							$7,434,306						"
"
						120.
					","

								Brian Cardinal							
","
							$6,300,000						","
							$7,422,348						"
"
						121.
					","

								Andrew Bogut							
","
							$6,294,310						","
							$7,415,644						"
"
						122.
					","

								Dan Gadzuric							
","
							$6,250,195						","
							$7,363,670						"
"
						123.
					","

								Mike James							
","
							$6,244,093						","
							$7,356,481						"
"
						124.
					","

								Stromile Swift							
","
							$6,200,000						","
							$7,304,533						"
"
						124.
					","

								Jerome James							
","
							$6,200,000						","
							$7,304,533						"
"
						124.
					","

								Jason Collins							
","
							$6,200,000						","
							$7,304,533						"
"
						124.
					","

								Antonio Daniels							
","
							$6,200,000						","
							$7,304,533						"
"
						124.
					","

								Earl Watson							
","
							$6,200,000						","
							$7,304,533						"
"
						129.
					","

								Leandro Barbosa							
","
							$6,100,000						","
							$7,186,718						"
"
						130.
					","

								Nazr Mohammed							
","
							$6,049,400						","
							$7,127,103						"
"
						130.
					","

								Vladimir Radmanovic							
","
							$6,049,400						","
							$7,127,103						"
"
						130.
					","

								Tim Thomas							
","
							$6,049,400						","
							$7,127,103						"
"
						130.
					","

								Jared Jeffries							
","
							$6,049,400						","
							$7,127,103						"
"
						134.
					","

								Matt Harpring							
","
							$6,000,000						","
							$7,068,902						"
"
						135.
					","

								Anderson Varejao							
","
							$5,784,480						","
							$6,814,987						"
"
						135.
					","

								Jason Kapono							
","
							$5,784,480						","
							$6,814,987						"
"
						137.
					","

								Speedy Claxton							
","
							$5,757,818						","
							$6,783,576						"
"
						138.
					","

								Tony Battie							
","
							$5,746,000						","
							$6,769,652						"
"
						139.
					","

								Marvin Williams							
","
							$5,636,143						","
							$6,640,224						"
"
						140.
					","

								Mikki Moore							
","
							$5,632,200						","
							$6,635,579						"
"
						141.
					","

								Morris Peterson							
","
							$5,592,240						","
							$6,588,500						"
"
						142.
					","

								DeSagana Diop							
","
							$5,585,000						","
							$6,579,970						"
"
						142.
					","

								James Posey							
","
							$5,585,000						","
							$6,579,970						"
"
						142.
					","

								Chris Duhon							
","
							$5,585,000						","
							$6,579,970						"
"
						142.
					","

								Beno Udrih							
","
							$5,585,000						","
							$6,579,970						"
"
						146.
					","

								Jeff Foster							
","
							$5,500,000						","
							$6,479,827						"
"
						146.
					","

								Brendan Haywood							
","
							$5,500,000						","
							$6,479,827						"
"
						148.
					","

								Desmond Mason							
","
							$5,300,000						","
							$6,244,197						"
"
						148.
					","

								Mickael Pietrus							
","
							$5,300,000						","
							$6,244,197						"
"
						150.
					","

								Andrea Bargnani							
","
							$5,176,440						","
							$6,098,625						"
"
						151.
					","

								John Salmons							
","
							$5,104,000						","
							$6,013,280						"
"
						152.
					","

								Deron Williams							
","
							$5,069,449						","
							$5,972,573						"
"
						153.
					","

								Matt Carroll							
","
							$5,050,000						","
							$5,949,659						"
"
						154.
					","

								Greg Oden							
","
							$5,011,680						","
							$5,904,513						"
"
						155.
					","

								Raja Bell							
","
							$5,000,000						","
							$5,890,752						"
"
						156.
					","

								JR Smith							
","
							$4,985,001						","
							$5,873,081						"
"
						157.
					","

								Kyle Korver							
","
							$4,956,818						","
							$5,839,877						"
"
						158.
					","

								Rafer Alston							
","
							$4,900,000						","
							$5,772,937						"
"
						159.
					","

								Derrick Rose							
","
							$4,822,800						","
							$5,681,984						"
"
						160.
					","

								Joe Smith							
","
							$4,795,000						","
							$5,649,231						"
"
						161.
					","

								Nenad Krstic							
","
							$4,778,548						","
							$5,629,848						"
"
						162.
					","

								Derek Fisher							
","
							$4,700,000						","
							$5,537,307						"
"
						163.
					","

								Reggie Evans							
","
							$4,640,000						","
							$5,466,618						"
"
						164.
					","

								LaMarcus Aldridge							
","
							$4,631,400						","
							$5,456,486						"
"
						165.
					","

								Kendrick Perkins							
","
							$4,578,880						","
							$5,394,609						"
"
						166.
					","

								Chris Paul							
","
							$4,574,189						","
							$5,389,083						"
"
						167.
					","

								Anthony Parker							
","
							$4,550,000						","
							$5,360,584						"
"
						168.
					","

								Sasha Vujacic							
","
							$4,524,887						","
							$5,330,997						"
"
						169.
					","

								Aleksandar Pavlovic							
","
							$4,500,000						","
							$5,301,677						"
"
						169.
					","

								Ronny Turiaf							
","
							$4,500,000						","
							$5,301,677						"
"
						169.
					","

								Louis Williams							
","
							$4,500,000						","
							$5,301,677						"
"
						172.
					","

								Kevin Durant							
","
							$4,484,040						","
							$5,282,873						"
"
						173.
					","

								Damon Jones							
","
							$4,460,186						","
							$5,254,770						"
"
						174.
					","

								Luke Walton							
","
							$4,420,000						","
							$5,207,425						"
"
						175.
					","

								Trenton Hassell							
","
							$4,350,000						","
							$5,124,954						"
"
						175.
					","

								Jorge Garbajosa							
","
							$4,350,000						","
							$5,124,954						"
"
						177.
					","

								Michael Beasley							
","
							$4,314,960						","
							$5,083,672						"
"
						178.
					","

								Marcus Banks							
","
							$4,260,000						","
							$5,018,921						"
"
						179.
					","

								Steve Blake							
","
							$4,250,000						","
							$5,007,139						"
"
						180.
					","

								Darius Songaila							
","
							$4,235,000						","
							$4,989,467						"
"
						181.
					","

								Kurt Thomas							
","
							$4,200,000						","
							$4,948,232						"
"
						182.
					","

								Adam Morrison							
","
							$4,159,200						","
							$4,900,163						"
"
						183.
					","

								Raymond Felton							
","
							$4,148,716						","
							$4,887,811						"
"
						184.
					","

								Al Horford							
","
							$4,026,720						","
							$4,744,082						"
"
						185.
					","

								Greg Buckner							
","
							$4,010,005						","
							$4,724,389						"
"
						186.
					","

								James Jones							
","
							$4,010,000						","
							$4,724,383						"
"
						187.
					","

								Zaza Pachulia							
","
							$4,000,000						","
							$4,712,601						"
"
						187.
					","

								Kwame Brown							
","
							$4,000,000						","
							$4,712,601						"
"
						187.
					","

								Travis Outlaw							
","
							$4,000,000						","
							$4,712,601						"
"
						187.
					","

								Bruce Bowen							
","
							$4,000,000						","
							$4,712,601						"
"
						191.
					","

								Antonio McDyess							
","
							$3,950,419						","
							$4,654,187						"
"
						192.
					","

								OJ Mayo							
","
							$3,875,040						","
							$4,565,380						"
"
						193.
					","

								Steven Hunter							
","
							$3,862,600						","
							$4,550,724						"
"
						194.
					","

								Delonte West							
","
							$3,850,000						","
							$4,535,879						"
"
						195.
					","

								Martell Webster							
","
							$3,771,133						","
							$4,442,962						"
"
						196.
					","

								Tyrus Thomas							
","
							$3,749,880						","
							$4,417,922						"
"
						197.
					","

								Daniel Gibson							
","
							$3,700,000						","
							$4,359,156						"
"
						197.
					","

								CJ Miles							
","
							$3,700,000						","
							$4,359,156						"
"
						199.
					","

								Amir Johnson							
","
							$3,666,667						","
							$4,319,885						"
"
						200.
					","

								Ryan Gomes							
","
							$3,650,000						","
							$4,300,249						"
"
						201.
					","

								Mike Conley							
","
							$3,630,480						","
							$4,277,251						"
"
						202.
					","

								Rasual Butler							
","
							$3,630,000						","
							$4,276,686						"
"
						203.
					","

								DeShawn Stevenson							
","
							$3,616,072						","
							$4,260,277						"
"
						204.
					","

								Fabricio Oberto							
","
							$3,600,000						","
							$4,241,341						"
"
						205.
					","

								Robert Swift							
","
							$3,579,131						","
							$4,216,754						"
"
						206.
					","

								Brian Cook							
","
							$3,500,000						","
							$4,123,526						"
"
						206.
					","

								Roger Mason							
","
							$3,500,000						","
							$4,123,526						"
"
						208.
					","

								Russell Westbrook							
","
							$3,493,680						","
							$4,116,080						"
